journal,SJR
michigan historical review,"0,102"
millennium dipr,"0,102"
mitteilungen zur christlichen archaologie,"0,102"
montesquieu.it,"0,102"
motricite cerebrale,"0,102"
museum,"0,102"
music in art,"0,102"
new cinemas,"0,102"
nigerian journal of nutritional sciences,"0,102"
nishinihon journal of dermatology,"0,102"
nivar,"0,102"
no to hattatsu,"0,102"
nordic theatre studies,"0,102"
northern history,"0,102"
nursing care and research,"0,102"
nursing history review,"0,102"
oceanus,"0,102"
opera quarterly,"0,102"
oral therapeutics and pharmacology,"0,102"
oud holland,"0,102"
pacific northwest quarterly,"0,102"
package printing,"0,102"
pakistan textile journal,"0,102"
paradigmi,"0,102"
parlement[s],"0,102"
parthica,"0,102"
pennsylvania geographer,"0,102"
performance apparel markets,"0,102"
performing ethos,"0,102"
periferica internacional,"0,102"
pharmaceutical manufacturing and packing sourcer,"0,102"
pharmeuropa bio & scientific notes,"0,102"
philotheos,"0,102"
physiotherapia croatica,"0,102"
plainsong and medieval music,"0,102"
plant engineering,"0,102"
poetique,"0,102"
poland's demographic past,"0,102"
porownania,"0,102"
problemi sjevernog jadrana,"0,102"
problemy prawa prywatnego miedzynarodowego,"0,102"
proceedings of the boston area colloquium in ancient philosophy,"0,102"
"proceedings of the symposium on the application of geophyics to engineering and environmental problems, sageep","0,102"
prolegomena,"0,102"
pulp and paper canada,"0,102"
questions liturgiques,"0,102"
quiroga,"0,102"
quranica,"0,102"
radwaste solutions,"0,102"
religion and the arts,"0,102"
renaissance drama,"0,102"
res,"0,102"
retina today,"0,102"
revista argentina de radiologia,"0,102"
revista de comunicacao e linguagens,"0,102"
revista de direito da faculdade guanambi,"0,102"
revista de geomorfologie,"0,102"
revista del nacional,"0,102"
revista hispanica moderna,"0,102"
revista mexicana de pediatria,"0,102"
revue de linguistique romane,"0,102"
revue d'histoire de la pensee economique,"0,102"
rivista di archeologia,"0,102"
rivista di filosofia,"0,102"
rocznik przekladoznawczy,"0,102"
romance philology,"0,102"
romanoarabica,"0,102"
saludciencia,"0,102"
salus,"0,102"
sapporo medical journal,"0,102"
"sardinia, corsica et baleares antiqvae","0,102"
scope,"0,102"
shakespeare studies,"0,102"
spagna contemporanea,"0,102"
studi etruschi,"0,102"
studi medievali,"0,102"
studi piemontesi,"0,102"
studi secenteschi,"0,102"
studia academica sumenensia,"0,102"
studia austriaca,"0,102"
studia iranica,"0,102"
studia rosenthaliana,"0,102"
studia theodisca,"0,102"
studies in comics,"0,102"
studies in the fantastic,"0,102"
studies in the literary imagination,"0,102"
suvremena psihologija,"0,102"
sylloge epigraphica barcinonensis,"0,102"
synergies pays germanophones,"0,102"
taida journal of art history,"0,102"
taiwan economic review,"0,102"
taiwan journal of east asian studies,"0,102"
talia dixit,"0,102"
t'ang studies,"0,102"
technai,"0,102"
texas transportation researcher,"0,102"
textile world,"0,102"
textil-revue,"0,102"
texts and studies in eastern christianity,"0,102"
thai journal of agricultural science,"0,102"
tidskriftet antropologi,"0,102"
trajecta,"0,102"
trends in earth observation,"0,102"
tumor diagnostik und therapie,"0,102"
tuna,"0,102"
twentieth century literature,"0,102"
umjetnost rijeci,"0,102"
urology times,"0,102"
visual ethnography,"0,102"
visual history,"0,102"
water and wastes digest,"0,102"
westerly,"0,102"
whitehall papers,"0,102"
world oil,"0,102"
world scientific studies in international economics,"0,102"
world sustainable development outlook,"0,102"
yearbook of langland studies,"0,102"
ymer,"0,102"
a contrario,"0,101"
acadiensis,"0,101"
acotaciones,"0,101"
acta asiatica varsoviensia,"0,101"
acta classica universitatis scientiarum debreceniensis,"0,101"
acta facultatis philosophicae universitatis ostravienis studia germanistica,"0,101"
acta medica saliniana,"0,101"
acta musei napocensis,"0,101"
acta poloniae historica,"0,101"
acta universitatis lodziensis. folia litteraria polonica,"0,101"
ad limina,"0,101"
adam mickiewicz university law review,"0,101"
advances in textiles technology,"0,101"
aegyptus,"0,101"
aerospace america,"0,101"
aethiopica,"0,101"
aevum - rassegna di scienze storiche linguistiche e filologiche,"0,101"
african american review,"0,101"
afterall,"0,101"
agora - papeles de filosofia,"0,101"
agricultural commodities,"0,101"
aims journal,"0,101"
air and space power review,"0,101"
aither,"0,101"
ajalooline ajakiri,"0,101"
ajatus,"0,101"
akroterion,"0,101"
aleph,"0,101"
american and british studies annual,"0,101"
american art,"0,101"
american forests,"0,101"
american literary scholarship,"0,101"
american nineteenth century history,"0,101"
american pharmaceutical review,"0,101"
american poetry review,"0,101"
analecta hermeneutica,"0,101"
analele banatului,"0,101"
anastasis,"0,101"
annali di scienze religiose,"0,101"
annee balzacienne,"0,101"
antiguedad y cristianismo,"0,101"
antik tanulmanyok,"0,101"
antike und abendland,"0,101"
antiquite tardive,"0,101"
anuar de lingvistica si istorie literara,"0,101"
anuario espanol de derecho internacional privado,"0,101"
anuario musical,"0,101"
appalachian journal,"0,101"
apparatus,"0,101"
arabian journal of scientific research,"0,101"
archaeologia adriatica,"0,101"
archaologie der schweiz,"0,101"
archeologia dell'architettura,"0,101"
archiv fur kulturgeschichte,"0,101"
archiv fur musikwissenschaft,"0,101"
archiv fur reformationsgeschichte,"0,101"
archiv fur volkerkunde,"0,101"
archives juives,"0,101"
archives of american art journal,"0,101"
archivio di filosofia,"0,101"
archivio storico italiano,"0,101"
archivium hibernicum,"0,101"
archivo de arte valenciano,"0,101"
archivos de alergia e inmunologia clinica,"0,101"
archivum franciscanum historicum,"0,101"
"archiwa, biblioteki i muzea koscielne","0,101"
arion - journal of humanities and the classics,"0,101"
arms and armour,"0,101"
ars judaica,"0,101"
arzneimitteltherapie,"0,101"
aschkenas,"0,101"
asian diasporic visual cultures and the americas,"0,101"
asian journal of statistical sciences,"0,101"
aspasia,"0,101"
atrio,"0,101"
augustiniana,"0,101"
aurora,"0,101"
ausa,"0,101"
ausimm bulletin,"0,101"
australian and new zealand journal of art,"0,101"
automotive industries ai,"0,101"
bach,"0,101"
balisage series on markup technologies,"0,101"
balkanistica,"0,101"
baltic journal of art history,"0,101"
bangladesh journal of obstetrics and gynecology,"0,101"
baptist quarterly,"0,101"
best practice onkologie,"0,101"
biologist,"0,101"
blake - an illustrated quarterly,"0,101"
bohemica litteraria,"0,101"
boletim de estudos classicos,"0,101"
boletin de arte,"0,101"
bolivian studies journal,"0,101"
bollettino dell'istituto storico italiano per il medio evo,"0,101"
bollettino di storia delle scienze matematiche,"0,101"
bollettino storico - bibliografico subalpino,"0,101"
brukenthal. acta musei,"0,101"
building and landscapes,"0,101"
bulletin de liaison des membres de la societe de geographie,"0,101"
bulletin of national institute of health sciences,"0,101"
bulletin of spanish visual studies,"0,101"
bulletin of the american society of papyrologists,"0,101"
bulletin of the comediantes,"0,101"
bulletin of the institute of classical studies,"0,101"
byron journal,"0,101"
byzantion nea hellas,"0,101"
byzantion,"0,101"
cadernos de fraseoloxia galega,"0,101"
cahiers de geographie du quebec,"0,101"
cahiers de recherches medievales,"0,101"
cahiers des etudes anciennes,"0,101"
cahiers d'etudes des cultures iberiques et latino-americaines,"0,101"
cahiers d'etudes levinassiennes,"0,101"
cahiers sante medecine therapeutique,"0,101"
canadian journal of women and the law = revue juridique la femme et le droit,"0,101"
caribbean quarterly,"0,101"
casopis matice moravske,"0,101"
cattle practice,"0,101"
cels,"0,101"
ceramic transactions,"0,101"
ceramics - art and perception,"0,101"
chemical fibers international,"0,101"
chikei,"0,101"
chinese journal of aerospace medicine,"0,101"
cincinnati romance review,"0,101"
cinemas,"0,101"
cinemas d'amerique latine,"0,101"
classica et mediaevalia,"0,101"
clinical medicine of china,"0,101"
clinical psychology today,"0,101"
clotho,"0,101"
"clovek, stavba a uzemni planovani - man, building and urban planning","0,101"
coal age,"0,101"
codex aquilarensis,"0,101"
colloquia maruliana,"0,101"
commentaria classica,"0,101"
communio viatorum,"0,101"
community practitioner,"0,101"
comparative drama,"0,101"
comprendre,"0,101"
connecticut medicine,"0,101"
connexe,"0,101"
connexions,"0,101"
contemporary ob/gyn,"0,101"
cornova,"0,101"
costume,"0,101"
court historian,"0,101"
critical ethnic studies,"0,101"
critical theory,"0,101"
croatica,"0,101"
crusades,"0,101"
cuaderno de notas,"0,101"
cuadernos de arte de la universidad de granada,"0,101"
cuadernos de investigacion historica,"0,101"
cuestiones de fisioterapia,"0,101"
dante e l'arte,"0,101"
danubius,"0,101"
danza e ricerca,"0,101"
daphnis,"0,101"
de arte,"0,101"
de gruyter proceedings in mathematics,"0,101"
de musica disserenda,"0,101"
degres,"0,101"
dejiny - teorie - kritika,"0,101"
dental press endodontics,"0,101"
design engineering,"0,101"
deutsche lebensmittel-rundschau,"0,101"
diasporas,"0,101"
discusiones filosoficas,"0,101"
divadelni revue,"0,101"
dna reporter,"0,101"
documentatieblad voor de nederlandse kerkgeschiedenis na 1800,"0,101"
documents pour l'histoire du francais langue etrangere ou seconde,"0,101"
dolor,"0,101"
early modern low countries,"0,101"
"eau, l'industrie, les nuisances","0,101"
edgar wind journal,"0,101"
eighteenth-century ireland,"0,101"
eirene,"0,101"
ekonomska i ekohistorija,"0,101"
energia elettrica,"0,101"
english literary renaissance,"0,101"
english literature,"0,101"
epidemiologie et sante animale,"0,101"
erga-logoi,"0,101"
ergotherapie und rehabilitation,"0,101"
eriu,"0,101"
ermeneutica letteraria,"0,101"
erudition and the republic of letters,"0,101"
espaco plural,"0,101"
estreno,"0,101"
estudios biblicos,"0,101"
estudios de historia de espana,"0,101"
estudis de literatura oral popular,"0,101"
ethnologie francaise,"0,101"
european journal of pediatric dermatology,"0,101"
european journal of scandinavian studies,"0,101"
european journal of theology,"0,101"
european medieval drama,"0,101"
exemplaria classica,"0,101"
experiment,"0,101"
ex-position,"0,101"
eye - international review of graphic design,"0,101"
f. scott fitzgerald review,"0,101"
fabrications,"0,101"
family and community history,"0,101"
ff communications,"0,101"
filistin arastirmalari dergisi,"0,101"
filologia mediolatina,"0,101"
filologija,"0,101"
folia historica bohemica,"0,101"
folia philosophica,"0,101"
forum modernes theater,"0,101"
franciscan studies,"0,101"
francofonia,"0,101"
freiburger zeitschrift fur philosophie und theologie,"0,101"
gemmae,"0,101"
geografski obzornik,"0,101"
german studies review,"0,101"
germanoslavica,"0,101"
gerontologie et societe,"0,101"
geschichte und region / storia e regione,"0,101"
global competition litigation review,"0,101"
glocal conference proceedings,"0,101"
good society,"0,101"
grey room,"0,101"
hagiographica,"0,101"
haide estudis maragallians,"0,101"
hercegovina,"0,101"
histoire de l'education,"0,101"
histoire des alpes - storia delle alpi - geschichte der alpen,"0,101"
histoire medievale et archeologie,"0,101"
historein,"0,101"
historia philosophica,"0,101"
historia scientiarum,"0,101"
historia urbana,"0,101"
historian,"0,101"
historical reflections,"0,101"
histories of postwar architecture,"0,101"
hong kong journal of dermatology and venereology,"0,101"
hong kong practitioner,"0,101"
horizons in biblical theology,"0,101"
hospital infection control and prevention,"0,101"
hotel management,"0,101"
houston journal of mathematics,"0,101"
human resource management international digest,"0,101"
humanistica lovaniensia,"0,101"
humanitas,"0,101"
hungarian journal of english and american studies,"0,101"
hydro international,"0,101"
hyperboreus,"0,101"
hypnos,"0,101"
i quaderni del m.ae.s.,"0,101"
i tatti studies,"0,101"
iafor journal of literature and librarianship,"0,101"
ibsen studies,"0,101"
iconographica,"0,101"
illinois classical studies,"0,101"
in esse,"0,101"
"in gremium. studies in history, culture and politics","0,101"
incontri linguistici,"0,101"
index on censorship,"0,101"
indian journal of practical pediatrics,"0,101"
ink world,"0,101"
intech,"0,101"
international conference on design and semantics of form and movement,"0,101"
"international conference on lead-acid batteries,labat","0,101"
international conferences on transport and sedimentation of solid particles,"0,101"
international journal of francophone studies,"0,101"
international journal of nonlinear science,"0,101"
international journal on stereo and immersive media,"0,101"
international paperworld ipw,"0,101"
internistische praxis,"0,101"
interstices journal of architecture and related arts,"0,101"
iride,"0,101"
islam arastirmalari dergisi,"0,101"
istrazivanja journal of historical researches,"0,101"
italienisch,"0,101"
itineraria,"0,101"
iup journal of english studies,"0,101"
james baldwin review,"0,101"
japanese journal of clinical ophthalmology,"0,101"
japanese railway engineering,"0,101"
jewish film and new media,"0,101"
journal des professionnels de l'enfance,"0,101"
journal for continental philosophy of religion,"0,101"
journal for interdisciplinary middle eastern studies,"0,101"
journal for the history of modern theology,"0,101"
journal fur anasthesie und intensivbehandlung,"0,101"
journal fur gastroenterologische und hepatologische erkrankungen,"0,101"
journal medical libanais,"0,101"
journal of african cinemas,"0,101"
journal of anglo-portuguese studies,"0,101"
journal of austrian-american history,"0,101"
journal of ayn rand studies,"0,101"
journal of british and irish innovative poetry,"0,101"
journal of codicology and manuscript research,"0,101"
journal of early christian history,"0,101"
journal of foreign languages and cultures,"0,101"
journal of gang research,"0,101"
journal of intellectual property,"0,101"
journal of japanese dental society of anesthesiology,"0,101"
journal of jewish ethics,"0,101"
journal of juristic papyrology,"0,101"
journal of legal history,"0,101"
journal of lusophone studies,"0,101"
journal of medieval monastic studies,"0,101"
journal of medieval religious cultures,"0,101"
journal of mediterranean studies,"0,101"
journal of modern craft,"0,101"
journal of modern periodical studies,"0,101"
journal of moravian history,"0,101"
journal of musicology,"0,101"
journal of new england water environment association,"0,101"
journal of septuagint and cognate studies,"0,101"
journal of shi'a islamic studies,"0,101"
journal of the australian early medieval association,"0,101"
journal of the institute of electrical engineers of japan,"0,101"
journal of the institute of image electronics engineers of japan,"0,101"
journal of the japan epilepsy society,"0,101"
journal of the medical society of toho university,"0,101"
journal of the midwest modern language association,"0,101"
journal of the yamashina institute for ornithology,"0,101"
journal of thermoelectricity,"0,101"
journal of universal history studies,"0,101"
journal of validation technology,"0,101"
journal of visual art and design,"0,101"
journal on asian linguistic anthropology,"0,101"
keats-shelley journal,"0,101"
keats-shelley review,"0,101"
kerygma und dogma,"0,101"
kulturpoetik,"0,101"
kunststoffe international,"0,101"
la linguistique,"0,101"
latin american theatre review,"0,101"
latvijas nacionalas bibliotekas zinatniskie raksti,"0,101"
latvijas universitates zurnals vesture,"0,101"
legacy,"0,101"
leo baeck institute yearbook,"0,101"
letteratura e dialetti,"0,101"
letteratura e letterature,"0,101"
lettere italiane,"0,101"
lettres romanes,"0,101"
leuvense bijdragen,"0,101"
library and information history,"0,101"
lied und populare kultur,"0,101"
lietuvos istorijos studijos,"0,101"
lietuvos muzikologija,"0,101"
light metal age,"0,101"
lighting design and application,"0,101"
lingua e stile,"0,101"
lingua posnaniensis,"0,101"
linguistique balkanique,"0,101"
listy filologicke,"0,101"
literature/ film quarterly,"0,101"
literaturwissenschaftliches jahrbuch,"0,101"
litteraria pragensia,"0,101"
locus amoenus,"0,101"
logeion,"0,101"
logos and pneuma - chinese journal of theology,"0,101"
luso-brazilian review,"0,101"
luziana,"0,101"
"magic, ritual, and witchcraft","0,101"
manuscripta orientalia,"0,101"
manuscrits,"0,101"
mapping and image science,"0,101"
martor,"0,101"
marvels and tales,"0,101"
mass communication research,"0,101"
materiali e discussioni per l'analisi dei testi classici,"0,101"
mdccc 1800,"0,101"
meander,"0,101"
medicine and law,"0,101"
medicus,"0,101"
medievalia,"0,101"
medievalia et humanistica,"0,101"
metal casting design and purchasing,"0,101"
metatheoria,"0,101"
methexis,"0,101"
micrologus,"0,101"
middle kingdom studies,"0,101"
mideo - melanges de l'institut dominicaine des etudes orientales du caire,"0,101"
midland history,"0,101"
militargeschichtliche zeitschrift,"0,101"
minerva revista de filologia clasica,"0,101"
mitteilungen des kunsthistorischen institutes in florenz,"0,101"
mitteilungen des verbandes der deutschen hohlen- und karstforscher,"0,101"
moderna,"0,101"
mondo digitale,"0,101"
monteagudo,"0,101"
monumenta nipponica,"0,101"
moreana,"0,101"
moving image review and art journal,"0,101"
moyen age,"0,101"
mpt metallurgical plant and technology international,"0,101"
msw management,"0,101"
multicultural shakespeare,"0,101"
museon,"0,101"
museum helveticum,"0,101"
"music, sound and the moving image","0,101"
music theory and analysis,"0,101"
musicologica brunensia,"0,101"
muveszettorteneti ertesito,"0,101"
napis,"0,101"
"nephrology, dialysis and transplantation","0,101"
neurologie up2date,"0,101"
nevtani ertesito,"0,101"
new design,"0,101"
new england quarterly,"0,101"
nineteenth century prose,"0,101"
nineteenth-century literature,"0,101"
nishinihon journal of urology,"0,101"
nonwovens industry,"0,101"
northern scotland,"0,101"
nottingham medieval studies,"0,101"
nsukka journal of the humanities,"0,101"
nuova rivista di letteratura italiana,"0,101"
"nursing new zealand (wellington, n.z.","0,101"
o papel,"0,101"
october,"0,101"
online journal of music sciences,"0,101"
ons geestelijk erf,"0,101"
opuscula historiae artium,"0,101"
orbis idearum,"0,101"
ordines militares,"0,101"
oriens,"0,101"
osterreichisches archiv fur recht und religion,"0,101"
overland,"0,101"
packaging news,"0,101"
padiatrische praxis,"0,101"
"paediatria croatica, supplement","0,101"
palimpsestes,"0,101"
pamietnik biblioteki kornickiej,"0,101"
papers on language and literature,"0,101"
paragraph,"0,101"
parliamentary history,"0,101"
pediatriya,"0,101"
peitho,"0,101"
pennsylvania magazine of history and biography,"0,101"
peristil,"0,101"
perspectives on federalism,"0,101"
petrarchesca,"0,101"
philologia antiqua,"0,101"
philological quarterly,"0,101"
philomusica,"0,101"
philosophia reformata,"0,101"
philosophie antique,"0,101"
photonics spectra,"0,101"
physicist,"0,101"
physiologist,"0,101"
planning,"0,101"
plastics engineering,"0,101"
ploughshares,"0,101"
poetica,"0,101"
poetry wales,"0,101"
politique etrangere,"0,101"
potestas,"0,101"
power,"0,101"
prace slawistyczne. slavica,"0,101"
practitioner,"0,101"
"proceedings - international conference on energy research and development, icerd","0,101"
proceedings of the international conference of theoretical and applied nanoscience and nanotechnology,"0,101"
prooftexts - journal of jewish literature history,"0,101"
proverbium,"0,101"
przeklady literatur slowianskich,"0,101"
psihoterapija,"0,101"
psychologie clinique et projective,"0,101"
punjab geographer,"0,101"
quaderni del '900,"0,101"
quaderni di storia religiosa medievale,"0,101"
quaderns d'italia,"0,101"
quaerendo,"0,101"
quaker studies,"0,101"
quebec studies,"0,101"
quest. issues in contemporary jewish history,"0,101"
ra revista de arquitectura,"0,101"
radovi instituta za povijest umjetnosti,"0,101"
radovi zavoda za povijesne znanosti hazu u zadru,"0,101"
radovi zavoda za znanstveni rad varazdin,"0,101"
reception,"0,101"
recherche et formation,"0,101"
recherches sur diderot et sur l'encyclopedie,"0,101"
red cedar review,"0,101"
reformation,"0,101"
regulatory rapporteur,"0,101"
reinardus,"0,101"
religious studies and theology,"0,101"
religious studies review,"0,101"
resources for american literary study,"0,101"
review of croatian history,"0,101"
review of rabbinic judaism,"0,101"
revista arta,"0,101"
revista canadiense de estudios hispanicos,"0,101"
revista da defensoria publica do distrito federal,"0,101"
revista de critica literaria latinoamericana,"0,101"
revista de estudios orteguianos,"0,101"
revista de filologia alemana,"0,101"
revista de hispanismo filosofico,"0,101"
revista de historia regional,"0,101"
revista de occidente,"0,101"
revista de quimica e industria textil,"0,101"
revista do caap,"0,101"
revista euphrosyne,"0,101"
revista infodir,"0,101"
revista romana de drept international,"0,101"
revue archeologique de l'est,"0,101"
revue benedictine,"0,101"
revue d etudes augustiniennes et patristiques,"0,101"
revue de musicologie,"0,101"
revue de philologie de litterature et d histoire anciennes,"0,101"
revue de qumran,"0,101"
revue de synthese / centre international de synthese,"0,101"
revue d'egyptologie,"0,101"
revue des etudes armeniennes,"0,101"
revue des etudes juives,"0,101"
revue des etudes sud-est europeennes,"0,101"
revue des langues romanes,"0,101"
revue d'histoire du theatre,"0,101"
revue d'homeopathie,"0,101"
revue internationale de philosophie,"0,101"
revue juridique de l'usek,"0,101"
revue numismatique,"0,101"
revue philosophique de la france et de la etranger,"0,101"
rhetorica - a journal of the history of rhetoric,"0,101"
ride - review journal for digital editions and resources,"0,101"
riha journal,"0,101"
rinascimento,"0,101"
rivista di filologia classica,"0,101"
rivista di letteratura storiografica italiana,"0,101"
rivista di storia del cristianesimo,"0,101"
rivista di storia e letteratura religiosa,"0,101"
rivista storica dell'antichita,"0,101"
rocznik orientalistyczny,"0,101"
romance quarterly,"0,101"
romaya journal,"0,101"
russell - journal of the bertrand russell studies,"0,101"
sacris erudiri,"0,101"
saint anselm journal,"0,101"
sales and marketing management,"0,101"
sang thrombose vaisseaux,"0,101"
"santander, estudios de patrimonio","0,101"
schweizer zeitschrift fur gynakologie,"0,101"
schweizerische zeitschrift fur religions- und kulturgeschichte,"0,101"
schweizerisches archiv fur volkskunde,"0,101"
scripta mediaevalia,"0,101"
scriptorium,"0,101"
sederi,"0,101"
seicento e settecento,"0,101"
short film studies,"0,101"
sight and sound,"0,101"
signos filosoficos,"0,101"
simiolus,"0,101"
simulation series,"0,101"
slovansky prehled,"0,101"
societate si politica,"0,101"
sokendai review of cultural and social studies,"0,101"
soundings,"0,101"
southwestern historical quarterly,"0,101"
soviet and post-soviet politics and society,"0,101"
spenser studies,"0,101"
spiegel der letteren,"0,101"
sri lankan journal of anaesthesiology,"0,101"
steinbeck review,"0,101"
stilistica e metrica italiana,"0,101"
studi danteschi,"0,101"
studi kantiani,"0,101"
studi pasoliniani,"0,101"
studi veronesi,"0,101"
studia et documenta,"0,101"
studia graeco-arabica,"0,101"
studia hibernica,"0,101"
studia leibnitiana,"0,101"
studia litteraria et historica,"0,101"
studia monastica,"0,101"
studia slavica,"0,101"
"studia universitatis cibiniensis, series historica","0,101"
studies in american fiction,"0,101"
studies in critical social sciences,"0,101"
studies in history,"0,101"
studies in latin american popular culture,"0,101"
studies in south asian film and media,"0,101"
studies in the history of philosophy,"0,101"
"studii si cercetari fliologice, seria limbi romanice","0,101"
sudhoffs archiv,"0,101"
sulla via del catai,"0,101"
sun yat-sen journal of humanities,"0,101"
sur,"0,101"
swe magazine,"0,101"
swiatowit,"0,101"
"swiss archives of neurology, psychiatry and psychotherapy","0,101"
symposium - quarterly journal in modern literatures,"0,101"
synergies afrique des grands lacs,"0,101"
synergies chili,"0,101"
synergies europe,"0,101"
synergies france,"0,101"
synergies portugal,"0,101"
synergies turquie,"0,101"
taiwan journal of anthropology,"0,101"
taiwanese political science review,"0,101"
taurus,"0,101"
temas medievales,"0,101"
terrain,"0,101"
textile view magazine,"0,101"
theoremes,"0,101"
tiyatro elestirmenligi ve dramaturji bolumu dergisi,"0,101"
traduction et langues,"0,101"
transmodernity,"0,101"
travailler,"0,101"
tre corone,"0,101"
trends in classics,"0,101"
tyndale bulletin,"0,101"
ucoarte. revista de teoria e historia del arte,"0,101"
unitex,"0,101"
value inquiry book series,"0,101"
vde fachberichte,"0,101"
venezia arti,"0,101"
vergentis,"0,101"
verslagen en mededelingen van de koninklijke academie voor nederlandse taal- en letterkunde,"0,101"
victorian historical journal,"0,101"
victoriographies,"0,101"
voeb-mitteilungen,"0,101"
voices - journal of new york folklore,"0,101"
volkskunde,"0,101"
walt whitman quarterly review,"0,101"
wenshan review of literature and culture,"0,101"
western humanities review,"0,101"
winterthur portfolio,"0,101"
women and performance,"0,101"
word and text,"0,101"
world literature today,"0,101"
world pumps,"0,101"
yale french studies,"0,101"
yale review,"0,101"
yearbook of balkan and baltic studies,"0,101"
year's work in english studies,"0,101"
zeitschrift fur franzosische sprache und literatur,"0,101"
zeitschrift fur religions- und geistesgeschichte,"0,101"
zeitschrift fur religionswissenschaft,"0,101"
zgodovina za vse,"0,101"
ziva antika,"0,101"
a + u-architecture and urbanism,"0,100"
acta universitatis lodziensis. folia historica,"0,100"
actualite chimique,"0,100"
additives for polymers,"0,100"
air force magazine,"0,100"
american book review,"0,100"
american history,"0,100"
ammonia plant safety and related facilities,"0,100"
anafora,"0,100"
"analele universitatii din craiova, seria filozofie","0,100"
anales del instituto de investigaciones esteticas,"0,100"
annales de bourgogne,"0,100"
aperture,"0,100"
architect,"0,100"
architectural digest,"0,100"
architecture d'aujourd hui,"0,100"
art in america,"0,100"
artnews,"0,100"
assembly,"0,100"
athenaeum,"0,100"
austrian studies,"0,100"
aut aut,"0,100"
avant scene opera,"0,100"
betonwerk und fertigteil-technik/concrete plant and precast technology,"0,100"
bialostockie studia literaturoznawcze,"0,100"
bibel und kirche,"0,100"
biocycle,"0,100"
boletin de la biblioteca de menendez pelayo,"0,100"
brunei international medical journal,"0,100"
building engineer,"0,100"
bulletin de litterature ecclesiastique,"0,100"
bulletin des bibliotheques de france,"0,100"
burlington magazine,"0,100"
cadernos de sociomuseologia,"0,100"
cahiers de civilisation medievale,"0,100"
cahiers d'ethnomusicologie,"0,100"
cahiers du musee national d'art moderne,"0,100"
cahiers elisabethains,"0,100"
cahiers victoriens and edouardiens,"0,100"
cambridge quarterly,"0,100"
canadian packaging,"0,100"
carnets,"0,100"
catholica,"0,100"
chemical processing,"0,100"
chemistry world,"0,100"
chicago review,"0,100"
chirurgische praxis,"0,100"
cim magazine,"0,100"
classica et christiana,"0,100"
cleanroom technology,"0,100"
cliniques mediterraneennes,"0,100"
"clio. revista de historia, ciencias humanas y pensamiento critico.","0,100"
colloquia germanica,"0,100"
coloquio-letras,"0,100"
comma,"0,100"
computer software,"0,100"
connaissance des arts,"0,100"
control,"0,100"
correspondances en mhnd,"0,100"
cossma,"0,100"
critica del testo,"0,100"
critica letteraria,"0,100"
criticism,"0,100"
cuadernos lirico,"0,100"
cultura,"0,100"
cutting tool engineering,"0,100"
dalhousie review,"0,100"
dance magazine,"0,100"
dancing times,"0,100"
das argument,"0,100"
diacovensia,"0,100"
dickensian,"0,100"
digital textile,"0,100"
dix-huitieme siecle,"0,100"
dix-septieme siecle,"0,100"
drawing,"0,100"
drug topics,"0,100"
du,"0,100"
ecclesiastical law journal,"0,100"
economic outlook,"0,100"
education in chemistry,"0,100"
eighteenth-century music,"0,100"
eikasmos,"0,100"
ekonomiska samfundets tidskrift,"0,100"
ela,"0,100"
electronic products,"0,100"
electronics world,"0,100"
els marges,"0,100"
engineer,"0,100"
ephemerides liturgicae,"0,100"
ephemerides theologicae lovanienses,"0,100"
ernahrung,"0,100"
essays in criticism,"0,100"
estudios de literatura colombiana,"0,100"
etudes anglaises,"0,100"
etudes francaises,"0,100"
etudes germaniques,"0,100"
etudes theologiques et religieuses,"0,100"
eugene o'neill review,"0,100"
euphorion - zeitschrift fur literaturgeschichte,"0,100"
eurasian journal of oncology,"0,100"
europe,"0,100"
expressions maghrebines,"0,100"
fabriksoftware,"0,100"
farbe und lack,"0,100"
farmaceutski glasnik,"0,100"
film and history,"0,100"
film-philosophy,"0,100"
fontes artis musicae,"0,100"
food manufacture,"0,100"
forbes,"0,100"
forum stadt,"0,100"
foundry trade journal international,"0,100"
fourth genre,"0,100"
french forum,"0,100"
french review,"0,100"
frontiers of literary studies in china,"0,100"
geodrilling international,"0,100"
geografija v soli,"0,100"
gestalt,"0,100"
giornale critico della filosofia italiana,"0,100"
giornale storico della letteratura italiana,"0,100"
gis.business,"0,100"
glass international,"0,100"
goethe jahrbuch,"0,100"
gradiva,"0,100"
gregorianum,"0,100"
guerres mondiales et conflicts contemporains,"0,100"
hart's e and p,"0,100"
harvard design magazine,"0,100"
haut,"0,100"
highways,"0,100"
hispamerica,"0,100"
hispanic review,"0,100"
historia et ius,"0,100"
historical materialism book series,"0,100"
historie a vojenstvi,"0,100"
historisk tidskrift,"0,100"
history studies,"0,100"
hungarian studies,"0,100"
huntington library quarterly,"0,100"
ihs jane's defence weekly,"0,100"
ikon,"0,100"
international arbitration law review,"0,100"
international bulk journal,"0,100"
"international conference on metamaterials, photonic crystals and plasmonics","0,100"
international dyer and finisher,"0,100"
intersezioni,"0,100"
italianistica,"0,100"
itamar,"0,100"
itinera,"0,100"
itu news,"0,100"
j19,"0,100"
jahrbuch der osterreichischen byzantinistik,"0,100"
james joyce quarterly,"0,100"
japanese journal of clinical urology,"0,100"
jec composites magazine,"0,100"
"jot, journal fuer oberflaechentechnik","0,100"
"journal for weavers, spinners and dyers","0,100"
